,Source_X,Source_Y,Source_Z,Destination_X,Destination_Y,Destination_Z
0,47.0,49.0,0.0,45.5857864376,50.4142135624,0.0
1,45.5857864376,50.4142135624,0.0,45.0,51.0,0.0
2,45.0,51.0,0.0,44.1715728753,51.8284271247,0.0
3,44.1715728753,51.8284271247,0.0,43.0,53.0,0.0
4,43.0,53.0,0.0,42.7573593129,53.2426406871,0.0
5,42.7573593129,53.2426406871,0.0,41.3431457505,54.6568542495,0.0
6,41.3431457505,54.6568542495,0.0,41.0,55.0,0.0
7,41.0,55.0,0.0,39.9289321881,56.0710678119,0.0
8,39.9289321881,56.0710678119,0.0,39.0,57.0,0.0
9,39.0,57.0,0.0,38.5147186258,57.4852813742,0.0
10,38.5147186258,57.4852813742,0.0,37.1005050634,58.8994949366,0.0
11,37.1005050634,58.8994949366,0.0,37.0,59.0,0.0
12,37.0,59.0,0.0,35.686291501,60.313708499,0.0
13,35.686291501,60.313708499,0.0,35.0,61.0,0.0
14,35.0,61.0,0.0,34.2720779386,61.7279220614,0.0
15,34.2720779386,61.7279220614,0.0,33.0,63.0,0.0
16,33.0,63.0,0.0,32.8578643763,63.1421356237,0.0
17,32.8578643763,63.1421356237,0.0,31.4436508139,64.5563491861,0.0
18,31.4436508139,64.5563491861,0.0,31.0,65.0,0.0
19,31.0,65.0,0.0,30.0294372515,65.9705627485,0.0
20,30.0294372515,65.9705627485,0.0,29.0,67.0,0.0
21,29.0,67.0,0.0,28.6152236891,67.3847763109,0.0
22,28.6152236891,67.3847763109,0.0,27.2010101268,68.7989898732,0.0
23,27.2010101268,68.7989898732,0.0,27.0,69.0,0.0
24,27.0,69.0,0.0,25.7867965644,70.2132034356,0.0
25,25.7867965644,70.2132034356,0.0,25.0,71.0,0.0
26,25.0,71.0,0.0,24.372583002,71.627416998,0.0
27,24.372583002,71.627416998,0.0,23.0,73.0,0.0
28,23.0,73.0,0.0,22.9583694397,73.0416305603,0.0
29,22.9583694397,73.0416305603,0.0,21.5441558773,74.4558441227,0.0
30,21.5441558773,74.4558441227,0.0,21.0,75.0,0.0
31,21.0,75.0,0.0,20.1299423149,75.8700576851,0.0
32,20.1299423149,75.8700576851,0.0,19.0,77.0,0.0
33,19.0,77.0,0.0,18.7157287525,77.2842712475,0.0
34,18.7157287525,77.2842712475,0.0,17.3015151902,78.6984848098,0.0
35,17.3015151902,78.6984848098,0.0,17.0,79.0,0.0
36,17.0,79.0,0.0,15.8873016278,80.1126983722,0.0
37,15.8873016278,80.1126983722,0.0,14.0210867726,79.393502909,0.0
38,14.0210867726,79.393502909,0.0,13.0,79.0,0.0
39,13.0,79.0,0.0,12.3595637753,78.3595637753,0.0
40,12.3595637753,78.3595637753,0.0,11.0,77.0,0.0
41,11.0,77.0,0.0,11.0,76.9227135299,0.0
42,11.0,76.9227135299,0.0,11.0,75.0,0.0
43,11.0,75.0,0.0,11.0,74.9227135299,0.0
44,11.0,74.9227135299,0.0,11.0,73.0,0.0
45,11.0,73.0,0.0,11.0,72.9227135299,0.0
46,11.0,72.9227135299,0.0,11.0,71.0,0.0
47,11.0,71.0,0.0,11.0,70.9227135299,0.0
48,11.0,70.9227135299,0.0,11.0,69.0,0.0
49,11.0,69.0,0.0,11.0,68.9227135299,0.0
50,11.0,68.9227135299,0.0,11.0,67.0,0.0
51,11.0,67.0,0.0,11.0,66.9227135299,0.0
52,11.0,66.9227135299,0.0,11.0,65.0,0.0
53,11.0,65.0,0.0,11.0,64.9227135299,0.0
54,11.0,64.9227135299,0.0,11.0,63.0,0.0
55,11.0,63.0,0.0,11.0,62.9227135299,0.0
56,11.0,62.9227135299,0.0,11.0,61.0,0.0
57,11.0,61.0,0.0,11.0,60.9227135299,0.0
58,11.0,60.9227135299,0.0,11.0,59.0,0.0
59,11.0,59.0,0.0,11.0,58.9227135299,0.0
60,11.0,58.9227135299,0.0,11.0,57.0,0.0
61,11.0,57.0,0.0,11.0,56.9227135299,0.0
62,11.0,56.9227135299,0.0,11.0,55.0,0.0
63,11.0,55.0,0.0,11.0,54.9227135299,0.0
64,11.0,54.9227135299,0.0,11.0,53.0,0.0
65,11.0,53.0,0.0,11.0,52.9227135299,0.0
66,11.0,52.9227135299,0.0,11.0,51.0,0.0
67,11.0,51.0,0.0,11.0,50.9227135299,0.0
68,11.0,50.9227135299,0.0,11.0,49.0,0.0
69,11.0,49.0,0.0,11.0,48.9227135299,0.0
70,11.0,48.9227135299,0.0,11.0,47.0,0.0
71,11.0,47.0,0.0,11.0,46.9227135299,0.0
72,11.0,46.9227135299,0.0,11.0,45.0,0.0
73,11.0,45.0,0.0,11.0,44.9227135299,0.0
74,11.0,44.9227135299,0.0,11.0,43.0,0.0
75,11.0,43.0,0.0,11.0,42.9227135299,0.0
76,11.0,42.9227135299,0.0,11.0,41.0,0.0
77,11.0,41.0,0.0,11.0,40.9227135299,0.0
78,11.0,40.9227135299,0.0,11.0,39.0,0.0
79,11.0,39.0,0.0,11.0,38.9227135299,0.0
80,11.0,38.9227135299,0.0,11.0,37.0,0.0
81,11.0,37.0,0.0,11.0,36.9227135299,0.0
82,11.0,36.9227135299,0.0,11.0,35.0,0.0
83,11.0,35.0,0.0,11.0,34.9227135299,0.0
84,11.0,34.9227135299,0.0,11.0,33.0,0.0
85,11.0,33.0,0.0,11.0,32.9227135299,0.0
86,11.0,32.9227135299,0.0,11.0,31.0,0.0
87,11.0,31.0,0.0,11.0,30.9227135299,0.0
88,11.0,30.9227135299,0.0,11.0,29.0,0.0
89,11.0,29.0,0.0,11.0,28.9227135299,0.0
90,11.0,28.9227135299,0.0,11.0,27.0,0.0
91,11.0,27.0,0.0,11.0,26.9227135299,0.0
92,11.0,26.9227135299,0.0,11.0,25.0,0.0
93,11.0,25.0,0.0,11.0,24.9227135299,0.0
94,11.0,24.9227135299,0.0,11.0,23.0,0.0
95,11.0,23.0,0.0,11.0,22.9227135299,0.0
96,11.0,22.9227135299,0.0,11.0,21.0,0.0
97,11.0,21.0,0.0,11.0,20.9227135299,0.0
98,11.0,20.9227135299,0.0,11.0,19.0,0.0
99,11.0,19.0,0.0,11.0,18.9227135299,0.0
100,11.0,18.9227135299,0.0,11.0,17.0,0.0
101,11.0,17.0,0.0,11.0,16.9227135299,0.0
102,11.0,16.9227135299,0.0,11.0,15.0,0.0
103,11.0,15.0,0.0,11.0,14.9227135299,0.0
104,11.0,14.9227135299,0.0,12.3871574377,16.3634752185,0.0
105,12.3871574377,16.3634752185,0.0,13.0,17.0,0.0
106,13.0,17.0,0.0,13.7894176742,17.7894176742,0.0
107,13.7894176742,17.7894176742,0.0,15.0,19.0,0.0
108,15.0,19.0,0.0,15.0,19.2879780565,0.0
109,15.0,19.2879780565,0.0,15.0,21.0,0.0
110,15.0,21.0,0.0,15.0,21.2879780565,0.0
111,15.0,21.2879780565,0.0,15.0,23.0,0.0
112,15.0,23.0,0.0,15.0,23.2879780565,0.0
113,15.0,23.2879780565,0.0,15.0,25.0,0.0
114,15.0,25.0,0.0,15.0,25.2879780565,0.0
115,15.0,25.2879780565,0.0,15.0,27.0,0.0
116,15.0,27.0,0.0,15.0,27.2879780565,0.0
117,15.0,27.2879780565,0.0,15.0,29.0,0.0
118,15.0,29.0,0.0,15.0,29.2879780565,0.0
119,15.0,29.2879780565,0.0,15.0,31.0,0.0
120,15.0,31.0,0.0,15.0,31.2879780565,0.0
121,15.0,31.2879780565,0.0,15.0,33.0,0.0
